Study area,1,KENGE,
Study area,2,MASIMANINBA,
Cluster,1,BANGONGO,1
Cluster,2,MINKWO,1
Cluster,3,GONGO,1
Cluster,4,BWATUNDA,1
Cluster,5,BIBAMBA,2
Cluster,6,PALANGA,2
Cluster,7,KIPEMBE,2
Cluster,8,MUKAKALA,2
